package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2008-04,The Orderliness Hypothesis: The Correlation Of Rail And Housing Development In London,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2008-04-the-orderliness-hypothesis-the-correlation-of-rail-and-housing-development-in-london,data/orderliness_workbooks/LondonRailwayBills1860s-cut.xls,Sheet1,Year,,mixed_numeric_text,11,1860.0 | 1861.0 | 1862.0 | 1863.0 | 1864.0,,,xls,medium,Headers inferred from first row. Sampled first 12 non-empty rows from worksheet.
paper-2008-04,The Orderliness Hypothesis: The Correlation Of Rail And Housing Development In London,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2008-04-the-orderliness-hypothesis-the-correlation-of-rail-and-housing-development-in-london,data/orderliness_workbooks/LondonRailwayBills1860s-cut.xls,Sheet1,Bills Proposed Lines,,numeric,10,22.0 | 23.0 | 15.0 | 28.0 | 31.0,10,42,xls,medium,Headers inferred from first row. Sampled first 12 non-empty rows from worksheet.
paper-2008-04,The Orderliness Hypothesis: The Correlation Of Rail And Housing Development In London,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2008-04-the-orderliness-hypothesis-the-correlation-of-rail-and-housing-development-in-london,data/orderliness_workbooks/LondonRailwayBills1860s-cut.xls,Sheet1,Length in miles,,numeric,10,72.0 | 67.0 | 78.0 | 123.0 | 172.0,6,243,xls,medium,Headers inferred from first row. Sampled first 12 non-empty rows from worksheet.
paper-2008-04,The Orderliness Hypothesis: The Correlation Of Rail And Housing Development In London,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2008-04-the-orderliness-hypothesis-the-correlation-of-rail-and-housing-development-in-london,data/orderliness_workbooks/LondonTrends.xls,Greater London Employment,column_1,,text,42,Barnet | Enfield | Haringey | Waltham | Camden,,,xls,medium,Some headers were missing; generated column_N names. Sampled first 49 non-empty rows from worksheet.
paper-2008-04,The Orderliness Hypothesis: The Correlation Of Rail And Housing Development In London,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2008-04-the-orderliness-hypothesis-the-correlation-of-rail-and-housing-development-in-london,data/orderliness_workbooks/LondonTrends.xls,Greater London Employment,Workplace Employment 2001,,numeric,34,128941.0 | 106463.0 | 70020.0 | 66764.0 | 278685.0,54049,4396234,xls,medium,Some headers were missing; generated column_N names. Sampled first 49 non-empty rows from worksheet.
paper-2008-04,The Orderliness Hypothesis: The Correlation Of Rail And Housing Development In London,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2008-04-the-orderliness-hypothesis-the-correlation-of-rail-and-housing-development-in-london,data/orderliness_workbooks/LondonTrends.xls,Greater London Employment,column_3,,numeric,6,372188.0 | 1591092.0 | 1086363.0 | 576055.0 | 770536.0,372188,4396234,xls,medium,Some headers were missing; generated column_N names. Sampled first 49 non-empty rows from worksheet.
paper-2008-04,The Orderliness Hypothesis: The Correlation Of Rail And Housing Development In London,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2008-04-the-orderliness-hypothesis-the-correlation-of-rail-and-housing-development-in-london,data/orderliness_workbooks/LondonTrends.xls,Data,column_1,,mixed_numeric_text,17,1871.0 | 1881.0 | 1891.0 | 1901.0 | 1911.0,,,xls,medium,Some headers were missing; generated column_N names. Sampled first 25 non-empty rows from worksheet.
paper-2008-04,The Orderliness Hypothesis: The Correlation Of Rail And Housing Development In London,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2008-04-the-orderliness-hypothesis-the-correlation-of-rail-and-housing-development-in-london,data/orderliness_workbooks/LondonTrends.xls,Data,Number of Workers in City of London,,numeric,14,200000.0 | 250000.0 | 305000.0 | 333000.0 | 367000.0,200000,500000,xls,medium,Some headers were missing; generated column_N names. Sampled first 25 non-empty rows from worksheet.
paper-2008-04,The Orderliness Hypothesis: The Correlation Of Rail And Housing Development In London,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2008-04-the-orderliness-hypothesis-the-correlation-of-rail-and-housing-development-in-london,data/orderliness_workbooks/LondonTrends.xls,Data,deltaemp10,,numeric,14,0.0 | 50000.0 | 55000.0 | 28000.0 | 34000.0,-160000,73000,xls,medium,Some headers were missing; generated column_N names. Sampled first 25 non-empty rows from worksheet.
paper-2008-04,The Orderliness Hypothesis: The Correlation Of Rail And Housing Development In London,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2008-04-the-orderliness-hypothesis-the-correlation-of-rail-and-housing-development-in-london,data/orderliness_workbooks/LondonTrends.xls,Data,column_4,,empty,0,,,,xls,medium,Some headers were missing; generated column_N names. Sampled first 25 non-empty rows from worksheet.
paper-2008-04,The Orderliness Hypothesis: The Correlation Of Rail And Housing Development In London,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2008-04-the-orderliness-hypothesis-the-correlation-of-rail-and-housing-development-in-london,data/orderliness_workbooks/LondonTrends.xls,Data,column_5,,numeric,21,1801.0 | 1811.0 | 1821.0 | 1831.0 | 1841.0,1801,2001,xls,medium,Some headers were missing; generated column_N names. Sampled first 25 non-empty rows from worksheet.
paper-2008-04,The Orderliness Hypothesis: The Correlation Of Rail And Housing Development In London,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2008-04-the-orderliness-hypothesis-the-correlation-of-rail-and-housing-development-in-london,data/orderliness_workbooks/LondonTrends.xls,Data,Rank of Population Density of City of London,,numeric,21,1.0 | 4.0 | 8.0 | 10.0 | 12.0,1,33,xls,medium,Some headers were missing; generated column_N names. Sampled first 25 non-empty rows from worksheet.
paper-2008-04,The Orderliness Hypothesis: The Correlation Of Rail And Housing Development In London,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2008-04-the-orderliness-hypothesis-the-correlation-of-rail-and-housing-development-in-london,data/orderliness_workbooks/LondonTrends.xls,Data,Population Density of City of London,,numeric,21,50045.0 | 47278.46153846154 | 48861.53846153846 | 48212.692307692305 | 49043.84615384615,1485,51051.5384615,xls,medium,Some headers were missing; generated column_N names. Sampled first 25 non-empty rows from worksheet.
